% Model,FULLCELL_NFM_charge_1C_mesh_fine.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 24 2026, 15:01"
% Dimension,3
% Nodes,46054
% Expressions,1
% Description,"因变量 cPos, 因变量 cNeg"
% Length unit,m
% X,Y,Z,solid.mises (Pa) @ t=1906.7
3.999999999999989E-7,2.700000000000001E-6,4.302E-6,NaN
5.93599557399672E-7,2.7E-6,3.378378229244704E-6,NaN
0,2.9165851914116977E-6,3.883467879104335E-6,NaN
1.892839394338732E-6,5.462841977947647E-7,4.302E-6,NaN
2.039481073223166E-6,0,4.518116684041905E-6,NaN
2.6999999999999996E-6,3.999999999999989E-7,4.302E-6,NaN
2.150384934963449E-6,5.440508042153112E-7,4.884929108451642E-6,NaN
5.459818798791982E-7,1.8936465178401896E-6,4.302E-6,NaN
1.0728042200657666E-6,1.0745050311476732E-6,4.302E-6,NaN
0,1.1615123195299389E-6,5.0453208960241745E-6,NaN
0,1.0461162932534057E-6,3.7077294148288762E-6,NaN
1.892839394338732E-6,5.462841977947647E-7,4.302E-6,NaN
1.0728042200657666E-6,1.0745050311476732E-6,4.302E-6,NaN
1.0634993685743028E-6,0,3.7923711262486346E-6,NaN
1.1199393523578967E-6,0,5.079701488959892E-6,NaN
2.039481073223166E-6,0,4.518116684041905E-6,NaN
1.892839394338732E-6,5.462841977947647E-7,4.302E-6,NaN
