% Model,FULLCELL_NFMZC_charge_1C_positive_kinetics_low.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 24 2026, 15:48"
% Dimension,3
% Nodes,26739
% Expressions,1
% Description,"因变量 cPos, 因变量 cNeg"
% Length unit,m
% X,Y,Z,solid.mises (Pa) @ t=3552.4
1.3326435764373623E-6,8.38343524270327E-6,2.1960000000000002E-6,NaN
9.789168180534618E-7,9.0E-6,1.9376975910666085E-6,NaN
6.165647572967468E-7,7.667356423562668E-6,2.1960000000000002E-6,NaN
0,9.0E-6,2.5264609988318537E-6,NaN
9.007398299739519E-7,7.907535075340115E-6,2.7829509599942616E-6,NaN
6.165647572967468E-7,7.667356423562668E-6,2.1960000000000002E-6,NaN
0,9.0E-6,2.5264609988318537E-6,NaN
1.3326435764373623E-6,8.38343524270327E-6,2.1960000000000002E-6,NaN
1.3326435764373623E-6,8.38343524270327E-6,2.1960000000000002E-6,NaN
9.789168180534618E-7,9.0E-6,1.9376975910666085E-6,NaN
5.54879514630996E-7,8.469759030094872E-6,1.3049921014649536E-6,NaN
6.165647572967468E-7,7.667356423562668E-6,2.1960000000000002E-6,NaN
1.1097590292619956E-6,7.93951806018975E-6,1.3181165860587908E-6,NaN
5.54879514630996E-7,8.469759030094872E-6,1.3049921014649536E-6,NaN
6.165647572967468E-7,7.667356423562668E-6,2.1960000000000002E-6,NaN
1.3326435764373623E-6,8.38343524270327E-6,2.1960000000000002E-6,NaN
2.7863925457794995E-6,7.3943925457795E-6,6.013610804398362E-7,NaN
2.7863925457794995E-6,7.3943925457795E-6,6.013610804398362E-7,NaN
2.4634367202887207E-6,7.081218158143645E-6,0,NaN
2.4634367202887207E-6,7.081218158143645E-6,0,NaN
2.7863925457794995E-6,7.3943925457795E-6,6.013610804398362E-7,NaN
2.1960000000000002E-6,7.667356423562649E-6,6.165647572967368E-7,NaN
2.1960000000000002E-6,6.804E-6,3.95999999999999E-7,NaN
2.4634367202887207E-6,7.081218158143645E-6,0,NaN
2.1960000000000002E-6,6.804E-6,3.95999999999999E-7,NaN
2.1960000000000002E-6,7.667356423562649E-6,6.165647572967368E-7,NaN
1.6437891808415954E-6,7.33702910756096E-6,0,NaN
2.4634367202887207E-6,7.081218158143645E-6,0,NaN
2.7863925457794995E-6,7.3943925457795E-6,6.013610804398362E-7,NaN
2.1960000000000002E-6,6.804E-6,3.95999999999999E-7,NaN
2.1960000000000002E-6,7.667356423562649E-6,6.165647572967368E-7,NaN
2.7863925457794995E-6,7.3943925457795E-6,6.013610804398362E-7,NaN
2.4634367202887207E-6,7.081218158143645E-6,0,NaN
2.069669184271339E-6,8.019689811958049E-6,0,NaN
2.766110659943321E-6,6.23388934005668E-6,5.866685640185904E-7,NaN
2.6395631627218958E-6,7.5263853446754425E-6,4.741109483380941E-6,NaN
9.007398299739519E-7,7.907535075340115E-6,2.7829509599942616E-6,NaN
0,7.879769722271539E-6,3.0818034522993005E-6,NaN
0,9.0E-6,2.5264609988318537E-6,NaN
6.165647572967468E-7,7.667356423562668E-6,2.1960000000000002E-6,NaN
1.4701358607973246E-6,8.119059745815474E-6,3.1878362346452703E-6,NaN
9.007398299739519E-7,7.907535075340115E-6,2.7829509599942616E-6,NaN
7.350679303986622E-7,7.912345932979043E-6,3.774000732824828E-6,NaN
1.2095179058571699E-6,9.0E-6,3.121372460240301E-6,NaN
9.568410618790504E-7,7.432053816169389E-6,3.340566961811336E-6,NaN
9.007398299739519E-7,7.907535075340115E-6,2.7829509599942616E-6,NaN
0,7.879769722271539E-6,3.0818034522993005E-6,NaN
7.350679303986622E-7,7.912345932979043E-6,3.774000732824828E-6,NaN
9.568410618790504E-7,7.432053816169389E-6,3.340566961811336E-6,NaN
1.5175650150964331E-6,7.482434984903568E-6,3.7189747018640197E-6,NaN
1.4701358607973246E-6,8.119059745815474E-6,3.1878362346452703E-6,NaN
7.350679303986622E-7,7.912345932979043E-6,3.774000732824828E-6,NaN
9.568410618790504E-7,7.432053816169389E-6,3.340566961811336E-6,NaN
9.007398299739519E-7,7.907535075340115E-6,2.7829509599942616E-6,NaN
7.350679303986622E-7,7.912345932979043E-6,3.774000732824828E-6,NaN
1.4701358607973246E-6,8.119059745815474E-6,3.1878362346452703E-6,NaN
1.5175650150964331E-6,7.482434984903568E-6,3.7189747018640197E-6,NaN
7.350679303986622E-7,7.912345932979043E-6,3.774000732824828E-6,NaN
1.345009059003217E-6,8.118281085038907E-6,4.36340468117601E-6,NaN
1.4701358607973246E-6,8.119059745815474E-6,3.1878362346452703E-6,NaN
5.847376857122344E-7,7.379187947479139E-6,2.755457397511888E-6,NaN
9.007398299739519E-7,7.907535075340115E-6,2.7829509599942616E-6,NaN
6.165647572967468E-7,7.667356423562668E-6,2.1960000000000002E-6,NaN
0,7.879769722271539E-6,3.0818034522993005E-6,NaN
5.847376857122344E-7,7.379187947479139E-6,2.755457397511888E-6,NaN
9.007398299739519E-7,7.907535075340115E-6,2.7829509599942616E-6,NaN
0,7.879769722271539E-6,3.0818034522993005E-6,NaN
9.568410618790504E-7,7.432053816169389E-6,3.340566961811336E-6,NaN
1.5175650150964331E-6,7.482434984903568E-6,3.7189747018640197E-6,NaN
1.704397116086345E-6,7.22621623709877E-6,4.524296821369717E-6,NaN
2.1960000000000002E-6,7.763451956839234E-6,3.718974701863879E-6,NaN
1.345009059003217E-6,8.118281085038907E-6,4.36340468117601E-6,NaN
1.5175650150964331E-6,7.482434984903568E-6,3.7189747018640197E-6,NaN
9.015158310268461E-7,7.268611074631636E-6,4.367956940427645E-6,NaN
1.2365480431607747E-6,6.804E-6,3.718974701863884E-6,NaN
1.704397116086345E-6,7.22621623709877E-6,4.524296821369717E-6,NaN
1.5175650150964331E-6,7.482434984903568E-6,3.7189747018640197E-6,NaN
