% Model,FULLCELL_NFMZC_charge_1C.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 24 2026, 03:00"
% Dimension,3
% Nodes,52047
% Expressions,1
% Description,"因变量 cPos, 因变量 cNeg"
% Length unit,m
% X,Y,Z,solid.mises (Pa) @ t=740.35
3.008341005757963E-7,2.006348840324827E-6,3.6552714111465296E-6,NaN
0,1.292034066280165E-6,3.771540597401443E-6,NaN
6.054300836746205E-7,1.4418511878491173E-6,3.4346665513451107E-6,NaN
3.008341005757963E-7,2.006348840324827E-6,3.6552714111465296E-6,NaN
0,2.253808507893265E-6,3.7311745339604644E-6,NaN
3.7137706930995656E-7,2.403E-6,3.4218032334056993E-6,NaN
0,1.812886676524023E-6,3.3988342460807382E-6,NaN
3.7137706930995656E-7,2.403E-6,3.4218032334056993E-6,NaN
0,2.253808507893265E-6,3.7311745339604644E-6,NaN
3.02392618951156E-7,2.842337501812342E-6,3.6726964340797185E-6,NaN
