% Model,FULLCELL_NFM_charge_1C_radius_low.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 24 2026, 15:34"
% Dimension,3
% Nodes,27383
% Expressions,1
% Description,"因变量 cPos, 因变量 cNeg"
% Length unit,m
% X,Y,Z,solid.mises (Pa) @ t=953.33
5.240800437022333E-7,6.517252960028264E-6,1.8666000000000003E-6,NaN
7.657699881310153E-7,6.721689171806673E-6,2.3652849857764756E-6,NaN
0,7.650000000000001E-6,2.1572376332404903E-6,NaN
7.086673325176497E-7,7.070158245319233E-6,1.6893826858847128E-6,NaN
1.1327470399717543E-6,7.125919956297777E-6,1.8666000000000003E-6,NaN
5.240800437022333E-7,6.517252960028264E-6,1.8666000000000003E-6,NaN
9.434730393321761E-7,6.749037846781542E-6,1.12075808420866E-6,NaN
7.086673325176497E-7,7.070158245319233E-6,1.6893826858847128E-6,NaN
5.240800437022333E-7,6.517252960028264E-6,1.8666000000000003E-6,NaN
1.1327470399717543E-6,7.125919956297777E-6,1.8666000000000003E-6,NaN
7.657699881310153E-7,6.721689171806673E-6,2.3652849857764756E-6,NaN
7.086673325176497E-7,7.070158245319233E-6,1.6893826858847128E-6,NaN
5.067281821043433E-7,7.117425716626809E-6,1.186100317660772E-6,NaN
9.434730393321761E-7,6.749037846781542E-6,1.12075808420866E-6,NaN
5.240800437022333E-7,6.517252960028264E-6,1.8666000000000003E-6,NaN
