% Model,FULLCELL_NFM_charge_1C_radius_high.mph
% Version,COMSOL 6.4.0.293
% Date,"Jul 24 2026, 15:35"
% Dimension,3
% Nodes,30733
% Expressions,1
% Description,"因变量 cPos, 因变量 cNeg"
% Length unit,m
% X,Y,Z,solid.mises (Pa) @ t=953.33
2.5253999999999996E-6,8.927969750365116E-6,4.276820907143461E-6,NaN
1.7451997673608946E-6,8.604800232639106E-6,4.276820907143619E-6,NaN
1.6915468164976863E-6,9.337538875090641E-6,3.665840629144072E-6,NaN
1.1003173663352294E-6,8.546840772991573E-6,3.84160961592583E-6,NaN
1.7451997673608946E-6,8.604800232639106E-6,4.276820907143619E-6,NaN
1.6915468164976863E-6,9.337538875090641E-6,3.665840629144072E-6,NaN
8.457734082488425E-7,9.194102321345368E-6,4.430299753146035E-6,NaN
1.6915468164976863E-6,9.337538875090641E-6,3.665840629144072E-6,NaN
1.0359482345330829E-6,9.09374508735157E-6,3.2004586534508442E-6,NaN
8.457734082488425E-7,9.194102321345368E-6,4.430299753146035E-6,NaN
1.419707689185482E-6,1.035E-5,3.959886045661842E-6,NaN
1.1003173663352294E-6,8.546840772991573E-6,3.84160961592583E-6,NaN
1.0359482345330829E-6,9.09374508735157E-6,3.2004586534508442E-6,NaN
8.457734082488425E-7,9.194102321345368E-6,4.430299753146035E-6,NaN
1.6915468164976863E-6,9.337538875090641E-6,3.665840629144072E-6,NaN
1.7451997673608946E-6,8.604800232639106E-6,4.276820907143619E-6,NaN
1.6915468164976863E-6,9.337538875090641E-6,3.665840629144072E-6,NaN
8.457734082488425E-7,9.194102321345368E-6,4.430299753146035E-6,NaN
2.053040837153839E-6,9.47740011631955E-6,4.524304206419181E-6,NaN
6.72390869690543E-7,8.485935521512453E-6,3.1687447683595854E-6,NaN
1.0359482345330829E-6,9.09374508735157E-6,3.2004586534508442E-6,NaN
7.090494708912562E-7,8.817459887097063E-6,2.5253999999999996E-6,NaN
0,9.241840385489203E-6,3.6063497274108726E-6,NaN
